id,study,effect_size_id,species,species_id,subphylum,phylum,assortment_trait,trait_dimensions,field_collection,publication_year,pooled_data,spatially_pooled,temporally_pooled,yi,ni,vi
McLain and Boromisa 1987a - Tetraopes tetrophthalmus,McLain and Boromisa 1987a,981,Tetraopes tetrophthalmus,Tetraopes_tetrophthalmus_ott1016808,Insecta,Arthropoda,elytron length,uni,yes,1987,no,no,no,0.37,45,0.022222222
McLain and Boromisa 1987a - Tetraopes tetrophthalmus,McLain and Boromisa 1987a,982,Tetraopes tetrophthalmus,Tetraopes_tetrophthalmus_ott1016808,Insecta,Arthropoda,elytron length,uni,yes,1987,no,no,no,0.46,25,0.04
McLain and Boromisa 1987a - Tetraopes tetrophthalmus,McLain and Boromisa 1987a,983,Tetraopes tetrophthalmus,Tetraopes_tetrophthalmus_ott1016808,Insecta,Arthropoda,elytron length,uni,yes,1987,no,no,no,0.3,46,0.02173913
McLain and Boromisa 1987a - Tetraopes tetrophthalmus,McLain and Boromisa 1987a,984,Tetraopes tetrophthalmus,Tetraopes_tetrophthalmus_ott1016808,Insecta,Arthropoda,elytron length,uni,yes,1987,no,no,no,0.79,35,0.028571429
McLain and Boromisa 1987a - Tetraopes tetrophthalmus,McLain and Boromisa 1987a,985,Tetraopes tetrophthalmus,Tetraopes_tetrophthalmus_ott1016808,Insecta,Arthropoda,elytron length,uni,yes,1987,no,no,no,0.5,20,0.05
McLain and Boromisa 1987a - Tetraopes tetrophthalmus,McLain and Boromisa 1987a,986,Tetraopes tetrophthalmus,Tetraopes_tetrophthalmus_ott1016808,Insecta,Arthropoda,elytron length,uni,yes,1987,no,no,no,0.74,24,0.041666667
McLain and Boromisa 1987a - Tetraopes tetrophthalmus,McLain and Boromisa 1987a,987,Tetraopes tetrophthalmus,Tetraopes_tetrophthalmus_ott1016808,Insecta,Arthropoda,elytron length,uni,yes,1987,no,no,no,0.77,8,0.125
McLain and Boromisa 1987a - Tetraopes tetrophthalmus,McLain and Boromisa 1987a,988,Tetraopes tetrophthalmus,Tetraopes_tetrophthalmus_ott1016808,Insecta,Arthropoda,elytron length,uni,yes,1987,no,no,no,0.61,19,0.052631579
McLain and Boromisa 1987a - Tetraopes tetrophthalmus,McLain and Boromisa 1987a,989,Tetraopes tetrophthalmus,Tetraopes_tetrophthalmus_ott1016808,Insecta,Arthropoda,elytron length,uni,yes,1987,no,no,no,0.79,14,0.071428571
McLain and Boromisa 1987a - Tetraopes tetrophthalmus,McLain and Boromisa 1987a,990,Tetraopes tetrophthalmus,Tetraopes_tetrophthalmus_ott1016808,Insecta,Arthropoda,elytron length,uni,yes,1987,no,no,no,0.51,25,0.04
McLain and Boromisa 1987a - Tetraopes tetrophthalmus,McLain and Boromisa 1987a,991,Tetraopes tetrophthalmus,Tetraopes_tetrophthalmus_ott1016808,Insecta,Arthropoda,elytron length,uni,yes,1987,no,no,no,0.83,20,0.05
McLain and Boromisa 1987b - Phymata wolff,McLain and Boromisa 1987b,992,Phymata wolff,Phymata_salicis_ott3475649,Insecta,Arthropoda,weight,uni,yes,1987,no,no,no,0.1,17,0.058823529
McLain and Boromisa 1987b - Phymata wolff,McLain and Boromisa 1987b,993,Phymata wolff,Phymata_salicis_ott3475649,Insecta,Arthropoda,pronotal width,uni,yes,1987,no,no,no,-0.52,13,0.076923077
McLain and Boromisa 1987b - Phymata wolff,McLain and Boromisa 1987b,994,Phymata wolff,Phymata_salicis_ott3475649,Insecta,Arthropoda,weight,uni,yes,1987,no,no,no,0.1,13,0.076923077
McLain and Boromisa 1987b - Phymata wolff,McLain and Boromisa 1987b,995,Phymata wolff,Phymata_salicis_ott3475649,Insecta,Arthropoda,pronotal width,uni,yes,1987,no,no,no,-0.14,17,0.058823529
McLain and Shure 1987 - Neacoryphus bicrucis,McLain and Shure 1987,996,Neacoryphus bicrucis,Neacoryphus_bicrucis_ott3470406,Insecta,Arthropoda,body length,uni,yes,1987,yes,no,yes,0.499,424,0.002358491
McLain et al. 2015 - Chauliognathus pennsylvanicus,McLain et al. 2015,997,Chauliognathus pennsylvanicus,Chauliognathus_pennsylvanicus_ott536547,Insecta,Arthropoda,elytron length,uni,yes,2015,yes,no,yes,0.669,421,0.002375297
McManus and Mascie-Taylor 1984 - Homo sapiens,McManus and Mascie-Taylor 1984,998,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1984,yes,yes,no,0.258,12503,7.99808E-05
Merila and Fry 1998 - Cyanistes caeruleus,Merila and Fry 1998,999,Cyanistes caeruleus,Cyanistes_caeruleus_caeruleus_ott744585,Aves,Chordata,tarsus length,uni,yes,1998,no,no,no,-0.01,55,0.018181818
Merila and Fry 1998 - Cyanistes caeruleus,Merila and Fry 1998,1000,Cyanistes caeruleus,Cyanistes_caeruleus_caeruleus_ott744585,Aves,Chordata,tarsus length,uni,yes,1998,no,no,no,-0.14,30,0.033333333
Merila and Fry 1998 - Cyanistes caeruleus,Merila and Fry 1998,1001,Cyanistes caeruleus,Cyanistes_caeruleus_caeruleus_ott744585,Aves,Chordata,tarsus length,uni,yes,1998,no,no,no,0.1,45,0.022222222
Merila and Gustafsson 1993 - Ficedula albicollis,Merila and Gustafsson 1993,1002,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,wing length,uni,yes,1993,yes,yes,yes,0.144,680,0.001470588
Merila and Gustafsson 1993 - Ficedula albicollis,Merila and Gustafsson 1993,1003,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,tarsus length,uni,yes,1993,yes,yes,yes,0.083,691,0.001447178
Merila and Gustafsson 1993 - Ficedula albicollis,Merila and Gustafsson 1993,1004,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,first primary length,uni,yes,1993,yes,yes,yes,0.069,585,0.001709402
Merila and Gustafsson 1993 - Ficedula albicollis,Merila and Gustafsson 1993,1005,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,bill width,uni,yes,1993,yes,yes,yes,0.067,300,0.003333333
Merila and Gustafsson 1993 - Ficedula albicollis,Merila and Gustafsson 1993,1006,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,bill length,uni,yes,1993,yes,yes,yes,0.051,681,0.001468429
Merila and Gustafsson 1993 - Ficedula albicollis,Merila and Gustafsson 1993,1007,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,tail length,uni,yes,1993,yes,yes,yes,0.038,611,0.001636661
Merila and Gustafsson 1993 - Ficedula albicollis,Merila and Gustafsson 1993,1008,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,bill depth,uni,yes,1993,yes,yes,yes,0.015,298,0.003355705
Merila and Sheldon 2000 - Ficedula albicollis,Merila and Sheldon 2000,1009,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,wing length,uni,yes,2000,yes,no,yes,0.216,3209,0.000311624
Merila and Sheldon 2000 - Ficedula albicollis,Merila and Sheldon 2000,1010,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,bill length,uni,yes,2000,yes,no,yes,0.134,2691,0.000371609
Merila and Sheldon 2000 - Ficedula albicollis,Merila and Sheldon 2000,1011,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,first primary length,uni,yes,2000,yes,no,yes,0.129,2713,0.000368596
Merila and Sheldon 2000 - Ficedula albicollis,Merila and Sheldon 2000,1012,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,tail length,uni,yes,2000,yes,no,yes,0.056,2791,0.000358295
Merila and Sheldon 2000 - Ficedula albicollis,Merila and Sheldon 2000,1013,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,bill depth,uni,yes,2000,yes,no,yes,0.054,1710,0.000584795
Merila and Sheldon 2000 - Ficedula albicollis,Merila and Sheldon 2000,1014,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,tarsus length,uni,yes,2000,yes,no,yes,0.05,3139,0.000318573
Merila and Sheldon 2000 - Ficedula albicollis,Merila and Sheldon 2000,1015,Ficedula albicollis,Ficedula_albicollis_ott107840,Aves,Chordata,bill width,uni,yes,2000,yes,no,yes,0.018,2709,0.00036914
Michiels and Streng 1998 - Schmidtea polychroa,Michiels and Streng 1998,1016,Schmidtea polychroa,Dugesia_sp_06_MR-2009_ott859610,Platyhelminthes,Lophotrochozoa,body length,uni,yes,1998,no,no,no,0.32,111,0.009009009
Michiels et al. 2001 - Lumbricus terrestris,Michiels et al. 2001,1017,Lumbricus terrestris,Lumbricus_terrestris_ott316441,Annelida,Lophotrochozoa,weight,uni,yes,2001,no,no,no,0.18,90,0.011111111
Michiels et al. 2001 - Lumbricus terrestris,Michiels et al. 2001,1018,Lumbricus terrestris,Lumbricus_terrestris_ott316441,Annelida,Lophotrochozoa,weight,uni,yes,2001,no,no,no,-0.01,102,0.009803922
Miller et al. 2010 - Macrotis lagotis,Miller et al. 2010,1019,Macrotis lagotis,Macrotis_lagotis_ott940704,Mammalia,Chordata,weight,uni,yes,2010,yes,no,yes,0.055,20,0.05
Miyashita 1994 - Nephila clavata,Miyashita 1994,1020,Nephila clavata,Nephila_clavata_ott997305,Chelicerata,Arthropoda,body length,uni,yes,1994,no,no,no,0.402,10,0.1
Miyashita 1994 - Nephila clavata,Miyashita 1994,1021,Nephila clavata,Nephila_clavata_ott997305,Chelicerata,Arthropoda,body length,uni,yes,1994,no,no,no,-0.094,8,0.125
Miyashita 1994 - Nephila clavata,Miyashita 1994,1022,Nephila clavata,Nephila_clavata_ott997305,Chelicerata,Arthropoda,body length,uni,yes,1994,no,no,no,0.71,8,0.125
Miyashita 1994 - Nephila clavata,Miyashita 1994,1023,Nephila clavata,Nephila_clavata_ott997305,Chelicerata,Arthropoda,body length,uni,yes,1994,no,no,no,0.181,9,0.111111111
Miyashita 1994 - Nephila clavata,Miyashita 1994,1024,Nephila clavata,Nephila_clavata_ott997305,Chelicerata,Arthropoda,body length,uni,yes,1994,no,no,no,-0.194,11,0.090909091
Miyashita 1994 - Nephila clavata,Miyashita 1994,1025,Nephila clavata,Nephila_clavata_ott997305,Chelicerata,Arthropoda,body length,uni,yes,1994,no,no,no,-0.225,15,0.066666667
Miyashita 1994 - Nephila clavata,Miyashita 1994,1026,Nephila clavata,Nephila_clavata_ott997305,Chelicerata,Arthropoda,body length,uni,yes,1994,no,no,no,0.054,9,0.111111111
Miyashita 1994 - Nephila clavata,Miyashita 1994,1027,Nephila clavata,Nephila_clavata_ott997305,Chelicerata,Arthropoda,body length,uni,yes,1994,no,no,no,-0.137,13,0.076923077
Mobley et al. 2014 - Syngnathus floridae,Mobley et al. 2014,1028,Syngnathus floridae,Syngnathus_floridae_ott774435,Teleostei,Chordata,body length,uni,yes,2014,no,no,no,-0.128,21,0.047619048
Mobley et al. 2014 - Syngnathus floridae,Mobley et al. 2014,1029,Syngnathus floridae,Syngnathus_floridae_ott774435,Teleostei,Chordata,body length,uni,yes,2014,no,no,no,0.275,28,0.035714286
Mobley et al. 2014 - Syngnathus typhle,Mobley et al. 2014,1030,Syngnathus typhle,Syngnathus_typhle_ott251396,Teleostei,Chordata,body length,uni,yes,2014,no,no,no,-0.221,18,0.055555556
Mobley et al. 2014 - Syngnathus typhle,Mobley et al. 2014,1031,Syngnathus typhle,Syngnathus_typhle_ott251396,Teleostei,Chordata,body length,uni,yes,2014,no,no,no,-0.052,28,0.035714286
Monroy et al. 2005 - Eisenia fetida,Monroy et al. 2005,1032,Eisenia fetida,Eisenia_fetida_ott316451,Annelida,Lophotrochozoa,weight,uni,yes,2005,no,no,no,0.2,104,0.009615385
Moreno-Rueda 2005 - Passer domesticus,Moreno-Rueda 2005,1033,Passer domesticus,Passer_domesticus_bactrianus_ott320920,Aves,Chordata,tail length,uni,yes,2005,no,no,no,0.77,12,0.083333333
Moreno-Rueda 2005 - Passer domesticus,Moreno-Rueda 2005,1034,Passer domesticus,Passer_domesticus_bactrianus_ott320920,Aves,Chordata,wing length,uni,yes,2005,no,no,no,0.61,12,0.083333333
Moreno-Rueda 2005 - Passer domesticus,Moreno-Rueda 2005,1035,Passer domesticus,Passer_domesticus_bactrianus_ott320920,Aves,Chordata,tarsus length,uni,yes,2005,no,no,no,0.21,12,0.083333333
Moreno-Rueda 2005 - Passer domesticus,Moreno-Rueda 2005,1036,Passer domesticus,Passer_domesticus_bactrianus_ott320920,Aves,Chordata,weight,uni,yes,2005,no,no,no,-0.29,12,0.083333333
Morley and Balshine 2003 - Eretmodus cyanostictus,Morley and Balshine 2003,1037,Eretmodus cyanostictus,Eretmodus_cyanostictus_ott102583,Teleostei,Chordata,standard length,uni,yes,2003,yes,yes,yes,0.596,63,0.015873016
Morrison et al. 2014 - Sialia currucoides,Morrison et al. 2014,1038,Sialia currucoides,Sialia_currucoides_ott431648,Aves,Chordata,tarsus length,uni,yes,2014,yes,no,yes,0.52,52,0.019230769
Morrison et al. 2014 - Sialia currucoides,Morrison et al. 2014,1039,Sialia currucoides,Sialia_currucoides_ott431648,Aves,Chordata,weight,uni,yes,2014,yes,no,yes,0.33,25,0.04
Morrison et al. 2014 - Sialia currucoides,Morrison et al. 2014,1040,Sialia currucoides,Sialia_currucoides_ott431648,Aves,Chordata,wing length,uni,yes,2014,yes,no,yes,0.13,54,0.018518519
Morrison et al. 2014 - Sialia currucoides,Morrison et al. 2014,1041,Sialia currucoides,Sialia_currucoides_ott431648,Aves,Chordata,tail length,uni,yes,2014,yes,no,yes,-0.05,53,0.018867925
Moura and Gonzaga 2017 - Manogea porracea,Moura and Gonzaga 2017,1042,Manogea porracea,Manogea_porracea_ott3571931,Chelicerata,Arthropoda,carapace width,uni,yes,2017,no,no,no,0.538,20,0.05
Moura and Gonzaga 2017 - Manogea porracea,Moura and Gonzaga 2017,1043,Manogea porracea,Manogea_porracea_ott3571931,Chelicerata,Arthropoda,carapace width,uni,yes,2017,no,no,no,-0.054,20,0.05
Mueller & Malina 1976 - Homo sapiens,Mueller & Malina 1976,1044,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1976,yes,no,yes,0.34,384,0.002604167
Mueller & Malina 1976 - Homo sapiens,Mueller & Malina 1976,1045,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,1976,yes,no,yes,0.23,418,0.002392344
Mueller & Malina 1976 - Homo sapiens,Mueller & Malina 1976,1046,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,1976,yes,no,yes,0.17,381,0.002624672
Mueller & Malina 1976 - Homo sapiens,Mueller & Malina 1976,1047,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1976,yes,no,yes,0.06,422,0.002369668
Mueller 1975 - Homo sapiens,Mueller 1975,1048,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1975,yes,no,yes,0.63,333,0.003003003
Mueller 1975 - Homo sapiens,Mueller 1975,1049,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,weight,uni,yes,1975,yes,no,yes,0.21,333,0.003003003
Mukhopadhyay 2003 - Homo sapiens,Mukhopadhyay 2003,1050,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,2003,yes,no,yes,0.38,1422,0.000703235
Murphy 2008 - Eumomota superciliosa,Murphy 2008,1051,Eumomota superciliosa,Eumomota_superciliosa_ott1079770,Aves,Chordata,flag area,tri,yes,2008,yes,no,yes,0.332,56,0.017857143
Murphy 2008 - Eumomota superciliosa,Murphy 2008,1052,Eumomota superciliosa,Eumomota_superciliosa_ott1079770,Aves,Chordata,PC1,dimensionless,yes,2008,yes,no,yes,0.245,59,0.016949153
Nagata 1986 - Locustella ochotensis,Nagata 1986,1053,Locustella ochotensis,Locustella_ochotensis_ott326781,Aves,Chordata,wing length,uni,yes,1986,no,no,no,0.47,12,0.083333333
Nagata 1986 - Locustella ochotensis,Nagata 1986,1054,Locustella ochotensis,Locustella_ochotensis_ott326781,Aves,Chordata,tail length,uni,yes,1986,no,no,no,0.29,12,0.083333333
Nagata 1986 - Locustella ochotensis,Nagata 1986,1055,Locustella ochotensis,Locustella_ochotensis_ott326781,Aves,Chordata,weight,uni,yes,1986,no,no,no,0.29,7,0.142857143
Nagata 1986 - Locustella ochotensis,Nagata 1986,1056,Locustella ochotensis,Locustella_ochotensis_ott326781,Aves,Chordata,tarsus length,uni,yes,1986,no,no,no,0.05,12,0.083333333
Nagata 1986 - Locustella ochotensis,Nagata 1986,1057,Locustella ochotensis,Locustella_ochotensis_ott326781,Aves,Chordata,culmen,uni,yes,1986,no,no,no,-0.25,12,0.083333333
Nagoshi & Johnson 1987 - Homo sapiens,Nagoshi & Johnson 1987,1058,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1987,yes,no,yes,0.22,870,0.001149425
Nagoshi & Johnson 1987 - Homo sapiens,Nagoshi & Johnson 1987,1059,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1987,yes,no,yes,0.15,310,0.003225806
Nakayama and Wada 2015 - Ilyograpsus nodulosus,Nakayama and Wada 2015,1060,Ilyograpsus nodulosus,Ilyograpsus_nodulosus_ott4666517,Crustacea,Arthropoda,carapace width,uni,no,2015,yes,no,yes,0.02,76,0.013157895
Nanami 2015 - Siganus unimaculatus,Nanami 2015,1061,Siganus unimaculatus,Siganus_unimaculatus_ott190873,Teleostei,Chordata,fork length,uni,yes,2015,no,no,no,0.85,32,0.03125
Nance et al. 1980 - Homo sapiens,Nance et al. 1980,1062,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1980,yes,yes,yes,0.24,119,0.008403361
Nava et al. 2014 - Calonectris borealis,Nava et al. 2014,1063,Calonectris borealis,Calonectris_borealis_ott3595600,Aves,Chordata,wing length,uni,yes,2014,no,no,no,0.273,23,0.043478261
Nava et al. 2014 - Calonectris borealis,Nava et al. 2014,1064,Calonectris borealis,Calonectris_borealis_ott3595600,Aves,Chordata,weight,uni,yes,2014,no,no,no,0.27,23,0.043478261
Nava et al. 2014 - Calonectris borealis,Nava et al. 2014,1065,Calonectris borealis,Calonectris_borealis_ott3595600,Aves,Chordata,tarsus length,uni,yes,2014,no,no,no,0.055,23,0.043478261
Nava et al. 2014 - Calonectris borealis,Nava et al. 2014,1066,Calonectris borealis,Calonectris_borealis_ott3595600,Aves,Chordata,bill length,uni,yes,2014,no,no,no,-0.447,23,0.043478261
Nava et al. 2014 - Calonectris borealis,Nava et al. 2014,1067,Calonectris borealis,Calonectris_borealis_ott3595600,Aves,Chordata,nostril height,uni,yes,2014,no,no,no,-0.58,23,0.043478261
Nava et al. 2017 - Hydrobates monteiroi,Nava et al. 2017,1068,Hydrobates monteiroi,Hydrobates_melitensis_ott3595637,Aves,Chordata,wing length,uni,yes,2017,yes,no,yes,0.11,43,0.023255814
Nava et al. 2017 - Hydrobates monteiroi,Nava et al. 2017,1069,Hydrobates monteiroi,Hydrobates_melitensis_ott3595637,Aves,Chordata,tarsus length,uni,yes,2017,yes,no,yes,0.13,43,0.023255814
Nava et al. 2017 - Hydrobates monteiroi,Nava et al. 2017,1070,Hydrobates monteiroi,Hydrobates_melitensis_ott3595637,Aves,Chordata,culmen,uni,yes,2017,yes,no,yes,0.14,43,0.023255814
Ng and Williams 2012 - Littoraria ardouiniana,Ng and Williams 2012,1071,Littoraria ardouiniana,Littoraria_ardouiniana_ott343155,Gastropoda,Lophotrochozoa,shell length,uni,yes,2012,yes,no,yes,0.536,286,0.003496503
Ng and Williams 2012 - Littoraria melanostoma,Ng and Williams 2012,1072,Littoraria melanostoma,Littoraria_melanostoma_ott867812,Gastropoda,Lophotrochozoa,shell length,uni,yes,2012,yes,no,yes,0.423,184,0.005434783
Ng and Williams 2014 - Littoraria ardouiniana,Ng and Williams 2014,1073,Littoraria ardouiniana,Littoraria_ardouiniana_ott343155,Gastropoda,Lophotrochozoa,shell length,uni,yes,2014,yes,no,yes,0.54,286,0.003496503
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1074,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,sitting height,uni,yes,1931,yes,yes,yes,0.3,140,0.007142857
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1075,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1931,yes,yes,yes,0.27,148,0.006756757
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1076,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1931,yes,yes,yes,0.25,112,0.008928571
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1077,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,head circumference,uni,yes,1931,yes,yes,yes,0.24,68,0.014705882
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1078,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,head circumference,uni,yes,1931,yes,yes,yes,0.24,179,0.005586592
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1079,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1931,yes,yes,yes,0.23,192,0.005208333
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1080,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,sitting height,uni,yes,1931,yes,yes,yes,0.21,170,0.005882353
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1081,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,head circumference,uni,yes,1931,yes,yes,yes,0.19,110,0.009090909
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1082,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,chest circumference,uni,yes,1931,yes,yes,yes,0.17,146,0.006849315
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1083,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,relative sitting height,uni,yes,1931,yes,yes,yes,0.15,140,0.007142857
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1084,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1931,yes,yes,yes,0.14,177,0.005649718
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1085,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,relative sitting height,uni,yes,1931,yes,yes,yes,0.14,71,0.014084507
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1086,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,sitting height,uni,yes,1931,yes,yes,yes,0.12,73,0.01369863
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1087,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,sitting height,uni,yes,1931,yes,yes,yes,0.12,71,0.014084507
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1088,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1931,yes,yes,yes,0.09,84,0.011904762
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1089,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,chest circumference,uni,yes,1931,yes,yes,yes,0.09,177,0.005649718
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1090,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,chest circumference,uni,yes,1931,yes,yes,yes,0.08,109,0.009174312
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1091,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,relative sitting height,uni,yes,1931,yes,yes,yes,0.08,173,0.005780347
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1092,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1931,yes,yes,yes,0.07,80,0.0125
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1093,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,relative sitting height,uni,yes,1931,yes,yes,yes,0.05,73,0.01369863
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1094,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,head circumference,uni,yes,1931,yes,yes,yes,0.03,168,0.005952381
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1095,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,head circumference,uni,yes,1931,yes,yes,yes,0.01,77,0.012987013
Nicolaeff 1931 - Homo sapiens,Nicolaeff 1931,1096,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,head circumference,uni,yes,1931,yes,yes,yes,-0.02,148,0.006756757
Nisbet et al. 2007 - Sterna hirundo,Nisbet et al. 2007,1097,Sterna hirundo,Sterna_hirundo_hirundo_ott5560401,Aves,Chordata,weight,uni,yes,2007,no,no,no,0.151,28,0.035714286
Nisbet et al. 2007 - Sterna hirundo,Nisbet et al. 2007,1098,Sterna hirundo,Sterna_hirundo_hirundo_ott5560401,Aves,Chordata,wing length,uni,yes,2007,no,no,no,0.024,94,0.010638298
Nisbet et al. 2007 - Sterna hirundo,Nisbet et al. 2007,1099,Sterna hirundo,Sterna_hirundo_hirundo_ott5560401,Aves,Chordata,bill depth,uni,yes,2007,no,no,no,-0.022,94,0.010638298
Nisbet et al. 2007 - Sterna hirundo,Nisbet et al. 2007,1100,Sterna hirundo,Sterna_hirundo_hirundo_ott5560401,Aves,Chordata,head length,uni,yes,2007,no,no,no,-0.075,95,0.010526316
Nisbet et al. 2007 - Sterna hirundo,Nisbet et al. 2007,1101,Sterna hirundo,Sterna_hirundo_hirundo_ott5560401,Aves,Chordata,culmen,uni,yes,2007,no,no,no,-0.146,95,0.010526316
Nisbet et al. 2007 - Sterna hirundo,Nisbet et al. 2007,1102,Sterna hirundo,Sterna_hirundo_hirundo_ott5560401,Aves,Chordata,tarsus length,uni,yes,2007,no,no,no,-0.287,94,0.010638298
Ohbayashi-Hodoki et al. 2004 - Physa acuta,Ohbayashi-Hodoki et al. 2004,1103,Physa acuta,Physella_acuta_ott55904,Gastropoda,Lophotrochozoa,weight,uni,yes,2004,no,no,no,-0.02,46,0.02173913
Ohbayashi-Hodoki et al. 2004 - Physa acuta,Ohbayashi-Hodoki et al. 2004,1104,Physa acuta,Physella_acuta_ott55904,Gastropoda,Lophotrochozoa,weight,uni,yes,2004,no,no,no,0.15,30,0.033333333
Ohbayashi-Hodoki et al. 2004 - Physa acuta,Ohbayashi-Hodoki et al. 2004,1105,Physa acuta,Physella_acuta_ott55904,Gastropoda,Lophotrochozoa,weight,uni,yes,2004,no,no,no,0.18,49,0.020408163
Okada 1988 - Homo sapiens,Okada 1988,1106,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,body height,uni,yes,1988,no,no,no,0.384,50,0.02
Okada 1988 - Homo sapiens,Okada 1988,1107,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,head breadth,uni,yes,1988,no,no,no,0.369,50,0.02
Okada 1988 - Homo sapiens,Okada 1988,1108,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,sitting height,uni,yes,1988,no,no,no,0.368,50,0.02
Okada 1988 - Homo sapiens,Okada 1988,1109,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,upper limb length,uni,yes,1988,no,no,no,0.351,50,0.02
Okada 1988 - Homo sapiens,Okada 1988,1110,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,head length,uni,yes,1988,no,no,no,0.263,50,0.02
Okada 1988 - Homo sapiens,Okada 1988,1111,Homo sapiens,Homo_sapiens_ott770315,Mammalia,Chordata,Iliospinal height,uni,yes,1988,no,no,no,0.256,50,0.02
